year,us.normalized.av.price
1992,0.981277589380431
1993,0.942410377509131
1994,1.0124588222295
1995,1.23512916402261
1996,1.39017898226352
1997,1.04537537598661
1998,0.820670975549588
1999,0.741482964625554
2000,0.75844438610002
2001,0.828111754128463
2002,1.00850532455055
2003,0.992288861864691
2004,1.02802475819653
2005,1
2006,1.23575247266063
2007,1.75948971788977
2008,2.16781717246034
2009,1.49013108208243
2010,1.54966186228771
2011,2.13361669982933
2012,2.19595455740663
2013,2.07580156710152
2014,1.8337868276031
2015,1.44703223564988
2016,1.15064619031664
